"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"8",2020180,22,8,10,2,82,0,0,11111,12111,"TTO",0,2020,0.77647418973087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2020180,22,9,10,2,80,0.2,0,11111,42321,"TTO",0,2020,0.77647418973087,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"10",2020180,22,10,10,2,73,0.2,0,11111,11122,"TTO",0,2020,0.77647418973087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"12",2020180,22,12,10,2,76,0.5,0,11111,43555,"TTO",0,2020,0.77647418973087,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",2020180,22,13,10,2,74,0.5,0,11111,52335,"TTO",0,2020,0.77647418973087,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"14",2020180,22,14,10,2,77,0.5,0,11111,24445,"TTO",0,2020,0.77647418973087,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"15",2020180,22,15,10,2,78,0.5,0,11111,13224,"TTO",0,2020,0.77647418973087,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"16",2020180,22,16,10,2,79,0.3,0,11111,34232,"TTO",0,2020,0.77647418973087,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"17",2020180,22,17,10,2,75,0.2,0,11111,35311,"TTO",0,2020,0.77647418973087,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"25",2020241,27,8,10,2,82,0,0,11111,12111,"TTO",0,2020,0.686453581799991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020241,27,9,10,2,77,0.3,0,11111,24445,"TTO",0,2020,0.686453581799991,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"27",2020241,27,10,10,2,74,0.4,0,11111,52335,"TTO",0,2020,0.686453581799991,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"28",2020241,27,11,10,2,86,0.5,0,11111,55555,"TTO",0,2020,0.686453581799991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29",2020241,27,12,10,2,76,0.5,0,11111,43555,"TTO",0,2020,0.686453581799991,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",2020241,27,13,10,2,78,0.4,0,11111,13224,"TTO",0,2020,0.686453581799991,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"31",2020241,27,14,10,2,80,0.2,0,11111,42321,"TTO",0,2020,0.686453581799991,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"32",2020241,27,15,10,2,79,0.4,0,11111,34232,"TTO",0,2020,0.686453581799991,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"33",2020241,27,16,10,2,73,0,0,11111,11122,"TTO",0,2020,0.686453581799991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"34",2020241,27,17,10,2,75,0.4,0,11111,35311,"TTO",0,2020,0.686453581799991,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"42",2020274,24,8,1,10,1,0.1,0,11111,11221,"TTO",0,2020,0.616946395561154,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"43",2020274,24,9,1,10,86,0.8,0,11111,55555,"TTO",0,2020,0.616946395561154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44",2020274,24,10,1,10,8,0.5,0,11111,45144,"TTO",0,2020,0.616946395561154,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1
"45",2020274,24,11,1,10,2,0.2,0,11111,11235,"TTO",0,2020,0.616946395561154,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1
"46",2020274,24,12,1,10,4,0.7,0,11111,51451,"TTO",0,2020,0.616946395561154,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1
"47",2020274,24,13,1,10,7,0.3,0,11111,12514,"TTO",0,2020,0.616946395561154,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1
"48",2020274,24,14,1,10,5,0.7,0,11111,34515,"TTO",0,2020,0.616946395561154,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1
"49",2020274,24,15,1,10,82,0,0,11111,12111,"TTO",0,2020,0.616946395561154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2020274,24,16,1,10,3,0.2,0,11111,54231,"TTO",0,2020,0.616946395561154,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
"51",2020274,24,17,1,10,6,0.7,0,11111,35245,"TTO",0,2020,0.616946395561154,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
"59",2020275,24,8,6,11,41,0,0,11111,12112,"TTO",0,2020,0.686453581799991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"61",2020275,24,10,6,11,42,0,0,11111,11212,"TTO",0,2020,0.686453581799991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"62",2020275,24,11,6,11,44,0.5,0,11111,21345,"TTO",0,2020,0.686453581799991,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1
"63",2020275,24,12,6,11,48,1.7,0,11111,55424,"TTO",0,2020,0.686453581799991,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1
"64",2020275,24,13,6,11,86,1.9,0,11111,55555,"TTO",0,2020,0.686453581799991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65",2020275,24,14,6,11,43,1,0,11111,44553,"TTO",0,2020,0.686453581799991,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"66",2020275,24,15,6,11,81,0,0,11111,21111,"TTO",0,2020,0.686453581799991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2020275,24,16,6,11,47,0.3,0,11111,43514,"TTO",0,2020,0.686453581799991,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1
"68",2020275,24,17,6,11,45,0.7,0,11111,34244,"TTO",0,2020,0.686453581799991,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1
"76",2020276,24,8,9,21,69,0.4,0,11111,31514,"TTO",0,2020,0.686453581799991,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1
"77",2020276,24,9,9,21,65,0.2,0,11111,11414,"TTO",0,2020,0.686453581799991,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"78",2020276,24,10,9,21,84,0,0,11111,11121,"TTO",0,2020,0.686453581799991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
